S.No.,Compound Name,Smiles,IDO_IC50 (nM),IDO_pic50,TDO_IC50 (nM),TDO_pic50
654,CHEMBL4795305,O=[N+]([O-])c1ccc(N/C(=N\O)c2ccc(F)cc2)c2nonc12,100,7,21000,4.68
655,CHEMBL4797096,O=C(/C(=N/O)Nc1ccc(F)c(Br)c1)[C@H]1CC[C@H](NS(=O)(=O)Nc2ccccc2)CC1,102,6.99,100000,4
656,CHEMBL4797963,O=C(Nc1ccc(Cl)cc1)C(CCO)N1CCC2(CC1)COc1cc(C(F)(F)F)ccc12,86,7.07,9500,5.02
657,CHEMBL4798028,O=C1c2ccccc2C(=O)c2c1nnn2-c1cccnc1,23,7.64,21,7.68
658,CHEMBL4798525,CN1CCN(c2ccc(-n3nnc4c3C(=O)c3ccccc3C4=O)cc2)CC1,10000,5,10000,5
659,CHEMBL4799553,O=C(Nc1ccc(Cl)cc1)C(=O)N1CC[C@@H](c2ccnc3ccc(F)cc23)[C@@H](O)C1,3000,5.52,37000,4.43
660,CHEMBL4800312,O=[N+]([O-])c1ccc(N/C(Cc2ccc(Br)cc2)=N\O)c2nonc12,112,6.95,43000,4.37
661,CHEMBL5071322,O/N=C(\Nc1cccc(Br)c1)c1ccc(Cl)nc1,171.8,6.76,1251,5.9
662,CHEMBL5076745,O/N=C(\Nc1cccc(Br)c1)c1ccc(Cl)s1,29.8,7.53,2311,5.64
663,CHEMBL5081219,O/N=C(\Nc1ccc(F)c(Cl)c1)c1cnc(Cl)s1,68.3,7.17,2298,5.64
664,CHEMBL5083059,Cc1ccc(/C(=N/O)Nc2cccc(Br)c2)s1,73.5,7.13,5831,5.23
665,CHEMBL5087302,O=C(NCc1csc(/C(=N/O)Nc2cccc(Br)c2)c1)Nc1ccc(F)cc1,36.8,7.43,2395,5.62
666,CHEMBL5169552,c1ccc2c(-c3ccc4nonc4c3)c[nH]c2c1,100000,4,51,7.29
667,CHEMBL5169632,CNC(=O)c1cccc(CNc2cc(C(F)(F)F)cc3[nH]ncc23)c1,100000,4,4870,5.31
668,CHEMBL5170390,O=C1NCc2c(NCc3ccccc3[N+](=O)[O-])cccc21,100000,4,100000,4
669,CHEMBL5170708,NCCn1ncc2c(NCc3ccccc3[N+](=O)[O-])cc(C(F)(F)F)cc21,100000,4,100000,4
670,CHEMBL5171548,OC1CCCC(Nc2cccc(CNc3cc(C(F)(F)F)cc4[nH]ncc34)c2)C1,100000,4,100000,4
671,CHEMBL5171773,CCN(CC)C(=O)c1coc2c1C(=O)C(=O)c1c-2ccc2c1C=CC(=O)C2(C)C,3270,5.49,10000,5
672,CHEMBL5172044,CC1(C)C(=O)C=Cc2c1ccc1c2C(=O)C(=O)c2c(CF)coc2-1,420,6.38,570,6.24
673,CHEMBL5172374,CC1(C)C(=O)CCc2c1ccc1c2C(=O)C(=O)c2c(CO)coc2-1,160,6.8,200,6.7
674,CHEMBL5172850,Brc1cccc(-c2nccc3c2[nH]c2ccccc23)c1,4950,5.31,20290,4.69
675,CHEMBL5174239,FC(F)(F)c1cccc(CNc2cc(C(F)(F)F)cc3[nH]ncc23)c1,100000,4,12200,4.91
676,CHEMBL5174493,O=C(O)c1cccc(CNc2cc(C(F)(F)F)cc3[nH]ncc23)c1,100000,4,1690,5.77
677,CHEMBL5174721,O=[N+]([O-])c1ccc(O)cc1CNc1cc(Br)cc2[nH]ncc12,910,6.04,460,6.34
678,CHEMBL5174722,CC1(C)C(=O)C=Cc2c1ccc1c2C(=O)C(=O)c2c(CCl)coc2-1,680,6.17,110,6.96
679,CHEMBL5175027,O=[N+]([O-])c1cc(OCc2ccccc2)ccc1CNc1cc(C(F)(F)F)cc2[nH]ncc12,100000,4,96960,4.01
680,CHEMBL5175666,FC(F)(F)c1cc(NC[C@@H]2CCCCN2)c2cn[nH]c2c1,18730,4.73,8050,5.09
681,CHEMBL5175874,CC1(C)C(=O)C=Cc2c1ccc1c2C(=O)C(=O)c2c(C(=O)O)coc2-1,4570,5.34,10000,5
682,CHEMBL5176219,CC(=O)O[C@H]1CCc2c(ccc3c2C(=O)C(=O)c2c(C)coc2-3)C1(C)C,400,6.4,2800,5.55
683,CHEMBL5176878,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1C(=O)C(O)CC2(C)C,490,6.31,1480,5.83
684,CHEMBL5177245,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1C=CC(=O)C2(C)C,980,6.01,10000,5
685,CHEMBL5177466,NC(=O)Nc1ccc(-c2c[nH]c3cc(F)ccc23)cc1,49,7.31,78,7.11
686,CHEMBL5178341,COC(=O)c1cc(NCc2ccccc2[N+](=O)[O-])c2cn[nH]c2c1,100000,4,100000,4
687,CHEMBL5180636,Clc1cccc(-c2nccc3c2[nH]c2ccccc23)c1,50000,4.3,13390,4.87
688,CHEMBL5180918,COC(=O)c1coc2c1C(=O)C(=O)c1c-2ccc2c1C=CC(=O)C2(C)C,10000,5,10000,5
689,CHEMBL5181187,O=[N+]([O-])c1cccc(CNc2cc(C(F)(F)F)cc3[nH]ncc23)c1,100000,4,5170,5.29
690,CHEMBL5181934,O=[N+]([O-])c1ccc(CNc2cc(Br)cc3[nH]ncc23)cc1,6970,5.16,2230,5.65
691,CHEMBL5182221,O=[N+]([O-])c1ccc(CNc2cc(C(F)(F)F)cc3[nH]ncc23)cc1,61000,4.21,100000,4
692,CHEMBL5183281,CC1(C)c2ccc3c(c2CC[C@@H]1O)C(=O)C(=O)c1c(CO)coc1-3,590,6.23,950,6.02
693,CHEMBL5183345,O=[N+]([O-])c1cc(Br)c(F)cc1CNc1cc(C(F)(F)F)cc2[nH]ncc12,100000,4,1460,5.84
694,CHEMBL5184595,N#Cc1cccc(-c2nccc3c2[nH]c2ccccc23)c1,50000,4.3,15330,4.81
695,CHEMBL5185564,c1ccc2c(-c3ccc4n[se]nc4c3)c[nH]c2c1,100000,4,2500,5.6
696,CHEMBL5187479,Clc1ccc(-c2nccc3c2[nH]c2ccccc23)cc1,7580,5.12,8290,5.08
697,CHEMBL5187823,Cc1c[nH]c2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C,10000,5,10000,5
698,CHEMBL5188549,c1ccc2c(c1)[nH]c1c(-c3cnn[nH]3)nccc12,13880,4.86,19510,4.71
699,CHEMBL5188603,CS(=O)(=O)c1ccc(CNc2cc(C(F)(F)F)cc3[nH]ncc23)c([N+](=O)O)c1,57960,4.24,790,6.1
