S.No.,Compound Name,Smiles,IDO_IC50 (nM),IDO_pic50,TDO_IC50 (nM),TDO_pic50
170,CHEMBL4278457,Cc1cccc(Nc2c(N)oc3cc(C#N)ccc23)c1,200,6.7,2000,5.7
171,CHEMBL4278469,Nc1oc2c(-c3ccc4c(c3)OCO4)nccc2c1Nc1ccc(F)c(Cl)c1,200,6.7,500,6.3
172,CHEMBL4278584,Nc1sc2c(-c3ccccc3)cccc2c1Nc1ccc(F)c(Cl)c1,200,6.7,2000,5.7
173,CHEMBL4278645,Nc1oc2cnccc2c1Nc1cccc(C(F)(F)F)c1,200,6.7,500,6.3
174,CHEMBL4278716,Cl.Nc1sc2ccc(Cl)cc2c1Nc1cccc(C(F)(F)F)c1,200,6.7,500,6.3
175,CHEMBL4278779,Cc1ncc(C)c2c(Nc3ccc(F)c(Cl)c3)c(N)oc12,200,6.7,500,6.3
176,CHEMBL4278848,Cc1ccc(Nc2c(N)oc3cnccc23)cc1Br,200,6.7,500,6.3
177,CHEMBL4278982,CCCNC(=O)c1cc(-c2nccc3c(Nc4ccc(F)c(Cl)c4)c(N)oc23)ccn1,200,6.7,2000,5.7
178,CHEMBL4279004,CCOC(=O)Nc1oc2c(-c3cc(C)nc(C)c3)nccc2c1Nc1ccc(F)c(Cl)c1,1000,6,2000,5.7
179,CHEMBL4279010,C#Cc1cccc(Nc2c(N)sc3ccccc23)c1,200,6.7,2000,5.7
180,CHEMBL4279026,Cc1cc(-c2nc(F)cc3c(Nc4ccc(F)c(Cl)c4)c(N)oc23)ccn1,200,6.7,500,6.3
181,CHEMBL4279040,Nc1sc2ccccc2c1Nc1ccc(F)c(F)c1,200,6.7,500,6.3
182,CHEMBL4279060,Nc1oc2c(-c3ccncc3)nccc2c1Nc1ccc(F)c(F)c1,200,6.7,500,6.3
183,CHEMBL4279220,CC(=O)N[C@@H](CC1C(=O)Nc2ccccc21)C(=O)O,620,6.21,83470,4.08
184,CHEMBL4279234,C#Cc1cccc(Nc2c(N)oc3c(C)nccc23)c1,200,6.7,500,6.3
185,CHEMBL4279253,CCOC(=O)Nc1oc2c(-c3ccncc3)nccc2c1N(C(=O)OCC)c1ccc(F)c(C(F)(F)F)c1,1000,6,2000,5.7
186,CHEMBL4279365,CC(=O)CC(=O)/C=C1\C(=O)Nc2ccc(Cl)cc21,190,6.72,39920,4.4
187,CHEMBL4279406,Nc1oc2cnccc2c1Nc1ccc(F)c(C(F)(F)F)c1,200,6.7,500,6.3
188,CHEMBL4279449,N#Cc1nccc2c(Nc3ccc(F)c(F)c3)c(N)oc12,200,6.7,500,6.3
189,CHEMBL4279530,Cc1cc(-c2cccc3c(Nc4ccc(F)c(Cl)c4)c(N)oc23)ccn1,200,6.7,2000,5.7
190,CHEMBL4279536,Nc1oc2c(-c3ccncc3)nccc2c1Nc1ccc(F)c(Cl)c1,200,6.7,500,6.3
191,CHEMBL4279587,Nc1oc2cnccc2c1Nc1ccc(C(F)(F)F)cc1,1000,6,500,6.3
192,CHEMBL4279613,Nc1sc2ccccc2c1Nc1cccc(Cl)c1,200,6.7,500,6.3
193,CHEMBL4279627,Nc1oc2c(-c3ccncc3)nccc2c1Nc1ccc(F)c(C(F)(F)F)c1,200,6.7,500,6.3
194,CHEMBL4279698,Nc1sc2c(-c3ccncc3)cccc2c1Nc1ccc(F)c(Cl)c1,200,6.7,500,6.3
195,CHEMBL4279754,Nc1sc2ccc(Cl)cc2c1Nc1ccc(F)c(C(F)(F)F)c1,200,6.7,2000,5.7
196,CHEMBL4279780,Nc1oc2cnccc2c1Nc1ccc(F)c(F)c1,200,6.7,500,6.3
197,CHEMBL4279821,CCc1nccc2c(Nc3ccc(F)c(Cl)c3)c(N)oc12,200,6.7,500,6.3
198,CHEMBL4280005,Nc1sc2ccccc2c1Nc1ccc(F)cc1,200,6.7,2000,5.7
199,CHEMBL4280079,Cc1cc(-c2nccc3c(Nc4ccc(F)c(Cl)c4)c(N)oc23)cc(C)n1,200,6.7,2000,5.7
200,CHEMBL4280094,N#Cc1ccc2c(Nc3ccc(F)c(Cl)c3)c(N)sc2c1,1000,6,2000,5.7
201,CHEMBL4280101,Nc1sc2cnc(F)cc2c1Nc1ccc(F)c(F)c1,200,6.7,500,6.3
202,CHEMBL4280108,Cc1cc(-c2nccc3c(Nc4cccc(F)c4)c(N)oc23)ccn1,200,6.7,500,6.3
203,CHEMBL4280114,Nc1oc2cnccc2c1Nc1cccc2c1CCCC2,1000,6,2000,5.7
204,CHEMBL4280130,Nc1oc2c(-c3cc(F)cc(F)c3)nccc2c1Nc1ccc(F)c(Cl)c1,200,6.7,500,6.3
205,CHEMBL4280350,Cc1cc(-c2nccc3c(Nc4ccccc4Cl)c(N)oc23)ccn1,200,6.7,500,6.3
206,CHEMBL4280480,Cc1cc(-c2nccc3c(Nc4ccccc4N4CCCCC4)c(N)oc23)ccn1,1000,6,2000,5.7
207,CHEMBL4280494,Cc1cc(C)cc(Nc2c(N)oc3cnccc23)c1,200,6.7,500,6.3
208,CHEMBL4280505,CCCCCNC(=O)c1cc(-c2nccc3c(Nc4ccc(F)c(Cl)c4)c(N)oc23)ccn1,200,6.7,2000,5.7
209,CHEMBL4280522,N#Cc1nccc2c(Nc3cc(F)cc(F)c3)c(N)oc12,1000,6,500,6.3
210,CHEMBL4280533,COc1cc2c(Nc3ccc(F)c(Cl)c3)c(N)oc2c(-c2ccc(C#N)cc2)n1,200,6.7,2000,5.7
211,CHEMBL4280727,Nc1oc2c(-c3ccncc3)nccc2c1Nc1cccc(C(F)(F)F)c1,200,6.7,500,6.3
212,CHEMBL4280768,Cc1cc(-c2nc(F)cc3c(Nc4ccc(F)c(F)c4)c(N)oc23)ccn1,200,6.7,500,6.3
213,CHEMBL4280928,Nc1oc2c(-c3ccncc3)nccc2c1Nc1cc(F)cc(F)c1,200,6.7,500,6.3
214,CHEMBL4281007,CNC(=O)c1cc(-c2nccc3c(Nc4ccc(F)c(Cl)c4)c(N)oc23)ccn1,200,6.7,500,6.3
215,CHEMBL4281024,Nc1oc2cnccc2c1Nc1ccc(I)c(Cl)c1,1000,6,500,6.3
216,CHEMBL4281087,CC(C)(C)c1cc(Nc2c(N)oc3cnccc23)cc(C(C)(C)C)c1,1000,6,500,6.3
217,CHEMBL4281155,Cc1ccc2sc(N)c(Nc3ccc(F)c(F)c3)c2c1,200,6.7,2000,5.7
218,CHEMBL4281167,O=C1c2cccnc2C(=O)c2sc(-c3cscn3)nc21,22,7.66,321.5,6.49
219,CHEMBL4281184,Nc1oc2cnccc2c1Nc1ccc(F)c(OC(F)(F)F)c1,200,6.7,2000,5.7
220,CHEMBL4281187,C#Cc1cccc(Nc2c(N)oc3cnccc23)c1,200,6.7,500,6.3
221,CHEMBL4281233,Cc1ccccc1Cn1cnc2c1C(=O)c1ccccc1C2=O,100000,4,100000,4
222,CHEMBL4281374,CNC(=O)c1cc(-c2nccc3c(Nc4ccc(F)cc4)c(N)oc23)ccn1,200,6.7,500,6.3
223,CHEMBL4281552,Nc1oc2cnccc2c1Nc1ccc(Cl)c(Cl)c1,200,6.7,500,6.3
224,CHEMBL4281561,Nc1oc2c(-c3cc(F)ccc3Cl)nccc2c1Nc1ccc(F)c(Cl)c1,200,6.7,500,6.3
225,CHEMBL4281581,O=C1c2ncccc2C(=O)c2sc(-c3ccncc3)nc21,207.9,6.68,684.3,6.16
226,CHEMBL4281808,Nc1oc2c(-c3cccc4ccccc34)nccc2c1Nc1ccc(F)c(Cl)c1,200,6.7,500,6.3
227,CHEMBL4281809,CCOC(=O)Nc1oc2c(-c3cccc(C#N)c3)nccc2c1N(C(=O)OCC)c1ccc(F)c(Cl)c1,1000,6,2000,5.7
228,CHEMBL4281858,Nc1oc2c(N3CCOCC3)nccc2c1Nc1ccc(F)c(Cl)c1,200,6.7,500,6.3
229,CHEMBL4281872,Nc1oc2cnc(F)cc2c1Nc1ccc(F)c(Cl)c1,200,6.7,500,6.3
230,CHEMBL4282227,Nc1sc2ccccc2c1Nc1ccc(Br)c(C(F)(F)F)c1,200,6.7,2000,5.7
231,CHEMBL4282241,CC(F)(F)c1cc(Nc2c(N)oc3cnccc23)ccc1F,200,6.7,2000,5.7
232,CHEMBL4282272,Nc1oc2cnccc2c1Nc1ccc(Cc2ccccc2)cc1,1000,6,500,6.3
233,CHEMBL4282281,Nc1oc2c(-c3ccncc3)nc(F)cc2c1Nc1ccc(F)c(Cl)c1,200,6.7,500,6.3
234,CHEMBL4282298,Cc1cc(-c2nccc3c(Nc4ccc(F)c(Cl)c4)c(N)oc23)ccn1,200,6.7,500,6.3
235,CHEMBL4282402,CNC(=O)c1cc(-c2nccc3c(Nc4ccc(F)c(F)c4)c(N)oc23)ccn1,200,6.7,500,6.3
236,CHEMBL4282546,CCc1cccc(Nc2c(N)oc3cnccc23)c1,200,6.7,2000,5.7
237,CHEMBL4282590,Cc1cc(Nc2c(N)oc3cnccc23)ccc1Cl,200,6.7,500,6.3
238,CHEMBL4282826,Nc1oc2c(-c3ccc(F)cc3)nccc2c1Nc1ccc(F)c(Cl)c1,200,6.7,500,6.3
239,CHEMBL4282888,CCOC(=O)Nc1oc2c(-c3ccnc(C)c3)nccc2c1N(C(=O)OCC)c1ccc(F)c(F)c1,1000,6,2000,5.7
240,CHEMBL4282901,CCc1nccc2c(Nc3ccc(F)c(C(F)(F)F)c3)c(N)oc12,200,6.7,2000,5.7
241,CHEMBL4282903,N#Cc1nccc2c(Nc3ccccc3Cl)c(N)oc12,200,6.7,2000,5.7
242,CHEMBL4283091,COc1ccc(Cl)cc1Nc1c(N)oc2cnccc12,200,6.7,500,6.3
243,CHEMBL4283101,Nc1sc2ccccc2c1Nc1cccc(Br)c1,200,6.7,500,6.3
244,CHEMBL4283109,N[C@@H](CC1C(=O)Nc2ccccc21)C(=O)O,3390,5.47,60220,4.22
245,CHEMBL4283161,Nc1oc2cnccc2c1Nc1ccc(Oc2ccccc2)cc1,1000,6,2000,5.7
246,CHEMBL4283286,N#Cc1nccc2c(Nc3ccc(F)c(C(F)(F)F)c3)c(N)oc12,200,6.7,500,6.3
247,CHEMBL4283317,Nc1oc2cc([N+](=O)[O-])ccc2c1Nc1ccc(F)c(Cl)c1,200,6.7,500,6.3
248,CHEMBL4283357,CCOC(=O)Nc1oc2c(-c3ccc(C(N)=O)cc3)nccc2c1Nc1ccc(F)c(Cl)c1,1000,6,2000,5.7
249,CHEMBL4283761,C#Cc1cccc(Nc2c(N)oc3c(CC)nccc23)c1,200,6.7,500,6.3
250,CHEMBL4283776,CCc1ccccc1Nc1c(N)sc2ccccc12.Cl,1000,6,2000,5.7
251,CHEMBL4283946,Nc1oc2c(/C=C/c3ccccc3)nccc2c1Nc1ccc(F)c(Cl)c1,200,6.7,500,6.3
252,CHEMBL4283957,Nc1oc2cnccc2c1Nc1cccc(Cc2ccccc2)c1,1000,6,2000,5.7
253,CHEMBL4284003,Nc1oc2cnccc2c1Nc1ccccc1Cl,1000,6,2000,5.7
254,CHEMBL4284116,Cc1cc(Br)ccc1Nc1c(N)sc2ccccc12,1000,6,2000,5.7
255,CHEMBL4284125,COc1cc(-c2nccc3c(Nc4ccc(F)c(Cl)c4)c(N)oc23)ccn1,200,6.7,500,6.3
256,CHEMBL4284269,Cc1cc(C)cc(-c2nccc3c(Nc4ccc(F)c(Cl)c4)c(N)oc23)c1,200,6.7,500,6.3
257,CHEMBL4284439,CC(C)c1nccc2c(Nc3ccc(F)c(Cl)c3)c(N)oc12,200,6.7,500,6.3
258,CHEMBL4284457,CNC(=O)c1cc(-c2nccc3c(Nc4cccc(C(F)(F)F)c4)c(N)oc23)ccn1,200,6.7,2000,5.7
259,CHEMBL4284563,COc1cc2c(Nc3ccc(F)c(Cl)c3)c(N)oc2c(I)n1,200,6.7,2000,5.7
260,CHEMBL4284584,Nc1oc2c(N(c3ccccc3)c3ccccc3)nccc2c1Nc1ccc(F)c(Cl)c1,200,6.7,2000,5.7
261,CHEMBL4284608,Nc1oc2c(-c3ccnc(C(=O)Nc4ccccn4)c3)nccc2c1Nc1ccc(F)c(Cl)c1,200,6.7,2000,5.7
262,CHEMBL4284653,Nc1oc2cnc(F)cc2c1Nc1ccccc1Cl,200,6.7,500,6.3
263,CHEMBL4284726,COc1cncc2oc(N)c(Nc3ccc(F)c(Cl)c3)c12,200,6.7,500,6.3
264,CHEMBL4285043,Nc1oc2c(C3CCCCC3)nccc2c1Nc1ccc(F)c(Cl)c1,200,6.7,500,6.3
265,CHEMBL4285062,O=C1c2ccccc2C(=O)c2c1nc(-c1ccncc1)n2Cc1cccc(Cl)c1,3300,5.48,100000,4
266,CHEMBL4285144,Nc1oc2cnccc2c1Nc1cccc(I)c1,200,6.7,500,6.3
267,CHEMBL4285170,Cc1cc(-c2nccc3c(Nc4cccc(Cl)c4)c(N)oc23)ccn1,200,6.7,500,6.3
268,CHEMBL4285274,Nc1oc2c(-c3ccncc3)nccc2c1Nc1cccc(Cl)c1,200,6.7,500,6.3
269,CHEMBL4285433,CCCCNC(=O)c1cc(-c2nccc3c(Nc4ccc(F)c(Cl)c4)c(N)oc23)ccn1,200,6.7,2000,5.7
270,CHEMBL4285529,Nc1oc2c(-c3ccccc3)nccc2c1Nc1cccc(C(F)(F)F)c1,200,6.7,2000,5.7
271,CHEMBL4285571,Cc1cc(-c2nccc3c(Nc4cc(Cl)ccc4F)c(N)oc23)ccn1,200,6.7,2000,5.7
272,CHEMBL4285660,Nc1oc2c(-c3ccnc(C(=O)NCCN4CCOCC4)c3)nccc2c1Nc1ccc(F)c(Cl)c1,200,6.7,500,6.3
273,CHEMBL4285752,O=C1c2ccccc2C(=O)c2sc(-c3ccncc3)nc21,26.2,7.58,1600,5.8
274,CHEMBL4285852,COc1cc2c(Nc3ccc(F)c(Cl)c3)c(N)oc2c(C)n1,200,6.7,500,6.3
275,CHEMBL4285861,Nc1oc2c(-c3ccncc3)nccc2c1Nc1ccccc1Cl,200,6.7,500,6.3
276,CHEMBL4285874,Nc1oc2c(I)nccc2c1Nc1ccc(F)c(Cl)c1,200,6.7,500,6.3
277,CHEMBL4285928,Nc1oc2cnccc2c1Nc1cc(F)c(F)c(Br)c1,200,6.7,2000,5.7
278,CHEMBL4286058,CCc1nccc2c(Nc3cccc(C(F)(F)F)c3)c(N)oc12,200,6.7,500,6.3
279,CHEMBL4286206,O=C1Nc2ccccc2/C1=N/c1ccccc1Br,1240,5.91,46240,4.33
280,CHEMBL4286322,Nc1oc2cnccc2c1Nc1ccc(Cl)c(Cl)c1Cl,1000,6,2000,5.7
281,CHEMBL4286481,O=C(N[C@@H](CC1C(=O)Nc2ccccc21)C(=O)O)OCc1ccccc1,1280,5.89,27200,4.57
282,CHEMBL4286487,N#Cc1nccc2c(Nc3ccc(F)c(Cl)c3)c(NC(=O)OCc3ccccc3)oc12,1000,6,500,6.3
283,CHEMBL4286518,Nc1oc2cnccc2c1Nc1ccc(Br)cc1,1000,6,500,6.3
284,CHEMBL4286554,CCc1cc(-c2nccc3c(Nc4ccc(F)c(Cl)c4)c(N)oc23)ccn1,200,6.7,500,6.3
285,CHEMBL4286702,Cc1ccc2sc(N)c(Nc3ccc(F)c(Cl)c3)c2c1,200,6.7,2000,5.7
286,CHEMBL4286734,Nc1oc2c(F)nccc2c1Nc1ccc(F)c(C(F)(F)F)c1,200,6.7,500,6.3
287,CHEMBL4286735,N#Cc1ccc(Nc2c(N)oc3cnccc23)cc1,1000,6,500,6.3
288,CHEMBL4286924,O=C(NCCC1C(=O)Nc2ccccc21)OCc1ccccc1,2310,5.64,58330,4.23
289,CHEMBL4286928,Cc1cc(-c2cccc3c(Nc4ccccc4)c(N)sc23)ccn1,200,6.7,500,6.3
290,CHEMBL4286979,Nc1oc2cnccc2c1Nc1ccccc1,200,6.7,500,6.3
291,CHEMBL4287091,CCCc1nccc2c(Nc3ccc(F)c(Cl)c3)c(N)oc12,200,6.7,2000,5.7
292,CHEMBL4287133,Nc1oc2c(-c3ccncc3)nc(F)cc2c1Nc1ccc(F)c(F)c1,200,6.7,500,6.3
293,CHEMBL4287152,N#Cc1ccc(-c2nccc3c(Nc4ccc(F)c(Cl)c4)c(N)oc23)cc1,200,6.7,500,6.3
294,CHEMBL4287189,COc1cccc(-c2nccc3c(Nc4ccc(F)c(Cl)c4)c(N)oc23)c1,200,6.7,500,6.3
295,CHEMBL4287240,CCOC(=O)Nc1oc2c(-c3ccnc(C)c3)nccc2c1N(C(=O)OCC)c1ccc(F)c(Cl)c1,1000,6,2000,5.7
296,CHEMBL4287280,CCCCOc1cc2c(Nc3ccc(F)c(Cl)c3)c(N)oc2c(-c2ccccc2)n1,1000,6,2000,5.7
297,CHEMBL4287290,N#Cc1nccc2c(Nc3ccc(F)c(Cl)c3)c(N)oc12,200,6.7,500,6.3
298,CHEMBL4287297,Cc1ccc(Nc2c(N)oc3cnccc23)cc1Cl,200,6.7,500,6.3
299,CHEMBL4287350,Nc1oc2c(-c3ccccc3)nc(Oc3ccccc3)cc2c1Nc1ccc(F)c(Cl)c1,1000,6,2000,5.7
300,CHEMBL4287458,N#Cc1ccc2c(Nc3ccccc3Cl)c(N)oc2c1,1000,6,2000,5.7
301,CHEMBL4287480,COc1cc2c(Nc3ccc(F)c(Cl)c3)c(N)oc2c(Br)n1,200,6.7,2000,5.7
302,CHEMBL4287546,Nc1oc2cnccc2c1Nc1ccc(Cl)cc1,1000,6,500,6.3
303,CHEMBL4287776,CCOC(=O)Nc1sc2ccccc2c1Nc1ccc(F)c(Cl)c1,1000,6,2000,5.7
304,CHEMBL4287789,Nc1oc2c(F)nc(F)cc2c1Nc1ccc(F)c(Cl)c1,200,6.7,500,6.3
305,CHEMBL4288020,CCOC(=O)Nc1oc2c(Br)nccc2c1N(C(=O)OCC)c1ccc(F)c(Cl)c1,1000,6,2000,5.7
306,CHEMBL4288032,Nc1oc2cnccc2c1Nc1ccc(F)c(Cl)c1,200,6.7,500,6.3
307,CHEMBL4288159,CC(=O)c1ccc(Nc2c(N)oc3cnccc23)cc1,1000,6,500,6.3
308,CHEMBL4288214,Cn1cc(-c2nccc3c(Nc4ccc(F)c(Cl)c4)c(N)oc23)cn1,200,6.7,500,6.3
309,CHEMBL4288257,Nc1oc2c(-c3cccc(C(F)(F)F)c3)nccc2c1Nc1ccc(F)c(Cl)c1,200,6.7,2000,5.7
310,CHEMBL4288269,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1C=CCC2(C)C,4680,5.33,10000,5
311,CHEMBL4288277,Nc1oc2c(-c3ccnc(C(F)(F)F)c3)nccc2c1Nc1ccc(F)c(Cl)c1,200,6.7,2000,5.7
312,CHEMBL4288369,Cc1cc(-c2nc(F)cc3c(Nc4cccc(Cl)c4)c(N)oc23)ccn1,200,6.7,500,6.3
313,CHEMBL4288412,Cc1nccc2c(Nc3ccc(F)c(Cl)c3)c(N)oc12,200,6.7,500,6.3
314,CHEMBL4288429,COC(=O)c1cccc(Cn2cnc3c2C(=O)c2ccccc2C3=O)c1,42200,4.37,100000,4
315,CHEMBL4288449,Nc1oc2cnccc2c1Nc1ccc(F)c(Cl)c1Cl,1000,6,2000,5.7
316,CHEMBL4288488,Nc1oc2c(-c3ccncc3)nccc2c1Nc1ccc(F)cc1,200,6.7,500,6.3
317,CHEMBL4288491,Nc1sc2ccccc2c1Nc1ccc(F)c(Cl)c1,200,6.7,500,6.3
318,CHEMBL4288607,Nc1oc2cnccc2c1Nc1cccc(C2CCCCC2)c1,1000,6,500,6.3
319,CHEMBL4288670,Nc1oc2c(-c3cccc(Cl)c3)nccc2c1Nc1ccc(F)c(Cl)c1,200,6.7,2000,5.7
320,CHEMBL4288676,Nc1oc2cnccc2c1Nc1ccc2c(c1)OCO2,200,6.7,500,6.3
321,CHEMBL4288790,CC(C)Oc1cc2c(Nc3ccc(F)c(Cl)c3)c(N)oc2c(-c2ccccc2)n1,1000,6,2000,5.7
322,CHEMBL4288820,Cl.Nc1sc2c(Br)cccc2c1Nc1ccc(F)c(Cl)c1,200,6.7,500,6.3
323,CHEMBL4288912,CCOC(=O)Nc1oc2c(C#N)nccc2c1N(C(=O)OCC)c1ccc(F)c(Cl)c1,1000,6,2000,5.7
324,CHEMBL4289059,CCOC(=O)Nc1oc2cnccc2c1N(C(=O)OCC)c1ccc(F)c(Cl)c1,1000,6,2000,5.7
325,CHEMBL4289072,COC(=O)c1ccc(-c2nccc3c(Nc4ccc(F)c(Cl)c4)c(N)oc23)cc1,200,6.7,500,6.3
326,CHEMBL4289074,CCOC(=O)Nc1oc2c(-c3ccccc3)nccc2c1Nc1ccc(F)c(Cl)c1,1000,6,2000,5.7
327,CHEMBL4289077,N#Cc1cccc(Nc2c(N)oc3cnccc23)c1F,1000,6,2000,5.7
328,CHEMBL4289093,Nc1oc2c(-c3ccnc(C(=O)Nc4ccccc4)c3)nccc2c1Nc1ccc(F)c(Cl)c1,200,6.7,2000,5.7
329,CHEMBL4289193,Nc1sc2ccccc2c1Nc1ccc2c(c1)OCO2,200,6.7,2000,5.7
330,CHEMBL4289261,Cc1ncc(CO)c2c(Nc3ccc(F)c(Cl)c3)c(N)oc12,1000,6,2000,5.7
331,CHEMBL4289267,Nc1oc2cnccc2c1Nc1ccccc1N1CCCCC1,1000,6,2000,5.7
332,CHEMBL4289441,Nc1oc2c(Br)nccc2c1Nc1ccc(F)c(Cl)c1,200,6.7,500,6.3
333,CHEMBL4289462,O=C1c2cccnc2C(=O)c2sc(-c3ccncc3)nc21,289.5,6.54,1200,5.92
334,CHEMBL4289482,Nc1oc2cnccc2c1Nc1cccc(Cl)c1,200,6.7,500,6.3
335,CHEMBL4289501,Nc1oc2cnccc2c1Nc1ccc(F)c(Cl)c1F,200,6.7,500,6.3
336,CHEMBL4289506,COc1cc2c(Nc3ccc(F)c(Cl)c3)c(N)oc2c(-c2ccc(C(N)=O)cc2)n1,200,6.7,2000,5.7
337,CHEMBL4289518,COc1ccc(Nc2c(N)oc3cnccc23)c(OC)c1,1000,6,2000,5.7
338,CHEMBL4289554,Nc1oc2cnccc2c1Nc1cccc(CC2CC2)c1,200,6.7,2000,5.7
339,CHEMBL4289773,Nc1oc2c(-c3ccnc(C(=O)NC4CCCCC4)c3)nccc2c1Nc1ccc(F)c(Cl)c1,200,6.7,2000,5.7
340,CHEMBL4289829,CC(C)(C)Oc1cc2c(Nc3ccc(F)c(Cl)c3)c(N)oc2c(-c2ccccc2)n1,1000,6,500,6.3
341,CHEMBL4289945,CCCc1nccc2c(Nc3ccc(F)c(C(F)(F)F)c3)c(N)oc12,200,6.7,500,6.3
342,CHEMBL4290038,COc1cccc(Nc2c(N)sc3ccccc23)c1,200,6.7,500,6.3
343,CHEMBL4290045,CC(=O)/C=C1\C(=O)Nc2ccc(Cl)cc21,360,6.44,54690,4.26
344,CHEMBL4290053,N#Cc1ccc2c(Nc3cccc(Br)c3)c(N)oc2c1,200,6.7,500,6.3
345,CHEMBL4290084,COC(=O)Nc1oc2cnccc2c1Nc1ccc(F)c(Cl)c1,1000,6,2000,5.7
346,CHEMBL4290194,Nc1oc2cnc(F)cc2c1Nc1cccc(Cl)c1,200,6.7,500,6.3
347,CHEMBL4290236,Cc1coc2c1c(=O)oc(=O)c1c3c(ccc12)C(C)(C)CCC3,10000,5,10000,5
348,CHEMBL4290305,Cc1ccc(S(=O)(=O)N/N=C2\C(=O)Nc3ccccc32)cc1,1780,5.75,52900,4.28
349,CHEMBL4290431,COC(=O)Nc1oc2cnccc2c1N(C(=O)OC)c1ccc(F)c(Cl)c1,1000,6,2000,5.7
350,CHEMBL4290511,COc1cc(Nc2c(N)oc3cnccc23)ccc1Cl,200,6.7,500,6.3
351,CHEMBL4290549,COc1cc2c(Nc3ccc(F)c(Cl)c3)c(N)oc2c(-c2ccc(F)cc2)n1,200,6.7,500,6.3
352,CHEMBL4290604,Nc1oc2cnccc2c1Nc1cccc(-c2ccccc2)c1,1000,6,2000,5.7
353,CHEMBL4290639,Cc1cc(-c2nccc3c(Nc4cccc(Cl)c4F)c(N)oc23)ccn1,200,6.7,2000,5.7
354,CHEMBL4290668,CNC(=O)c1cc(-c2nccc3c(Nc4cccc(Cl)c4)c(N)oc23)ccn1,200,6.7,500,6.3
355,CHEMBL4290878,Nc1oc2cnccc2c1Nc1ccc(F)cc1Br,200,6.7,2000,5.7
356,CHEMBL4290911,Nc1oc2cnc(Cl)cc2c1Nc1ccc(F)c(Cl)c1,200,6.7,500,6.3
357,CHEMBL4290965,CCCc1nccc2c(Nc3cccc(C(F)(F)F)c3)c(N)oc12,200,6.7,2000,5.7
358,CHEMBL4290983,Nc1oc2cnccc2c1Nc1ccc(OC(F)(F)F)cc1,1000,6,500,6.3
359,CHEMBL4290984,Cl.Nc1sc2ccccc2c1Oc1cccc(Cl)c1,1000,6,2000,5.7
360,CHEMBL4291007,Cc1cc(-c2nc(C)cc3c(Nc4ccc(F)c(Cl)c4)c(N)oc23)ccn1,200,6.7,2000,5.7
361,CHEMBL4291087,CC(C)(C)NC(=O)c1cc(-c2nccc3c(Nc4ccc(F)c(Cl)c4)c(N)oc23)ccn1,200,6.7,2000,5.7
362,CHEMBL4291105,Cc1cccc(Nc2c(N)sc3ccccc23)c1C,200,6.7,500,6.3
363,CHEMBL4291232,CCc1cc2c(Nc3ccc(F)c(Cl)c3)c(N)oc2c(-c2ccccc2)n1,200,6.7,2000,5.7
364,CHEMBL4291240,CNC(=O)c1cc(-c2nccc3c(Nc4ccccc4Cl)c(N)oc23)ccn1,200,6.7,500,6.3
365,CHEMBL4291289,Nc1sc2ccc(Br)cc2c1Nc1ccc(F)c(Cl)c1,200,6.7,2000,5.7
366,CHEMBL4291312,Nc1oc2c(-c3ccnc(C(=O)N4CCOCC4)c3)nccc2c1Nc1ccc(F)c(Cl)c1,200,6.7,500,6.3
367,CHEMBL4291358,Nc1oc2cnccc2c1Nc1ccc(F)cc1Cl,1000,6,500,6.3
368,CHEMBL4291671,Nc1oc2c(F)nccc2c1Nc1ccc(F)c(Cl)c1,200,6.7,500,6.3
369,CHEMBL4291734,Nc1oc2cnc(F)cc2c1Nc1ccc(F)cc1,200,6.7,500,6.3
370,CHEMBL4291741,N#Cc1cccc(Nc2c(N)oc3cnccc23)c1,1000,6,2000,5.7
371,CHEMBL4291792,O=C1c2ncccc2C(=O)c2sc(-c3cscn3)nc21,18,7.74,214.5,6.67
372,CHEMBL4291800,CCOC(=O)Nc1oc2cnccc2c1Nc1ccc(F)c(Cl)c1,1000,6,2000,5.7
373,CHEMBL4291805,Cl.Nc1sc2ccc(Cl)cc2c1Nc1ccc(F)c(Cl)c1,200,6.7,2000,5.7
374,CHEMBL4291850,O=C(O)c1cccc(Cn2cnc3c2C(=O)c2ccccc2C3=O)c1,11000,4.96,100000,4
375,CHEMBL4291859,Cc1ccc(Nc2c(N)oc3cnccc23)cc1,1000,6,500,6.3
376,CHEMBL4292025,Nc1oc2cnccc2c1Nc1cc(Cl)c(F)cc1F,200,6.7,2000,5.7
377,CHEMBL4292046,Cc1cc(-c2cccc3c(Nc4ccc(F)cc4)c(N)sc23)ccn1,200,6.7,500,6.3
378,CHEMBL4292132,CC(C)CNC(=O)c1cc(-c2nccc3c(Nc4ccc(F)c(Cl)c4)c(N)oc23)ccn1,200,6.7,2000,5.7
379,CHEMBL4292240,CC(C)c1cccc(Nc2c(N)oc3cnccc23)c1,200,6.7,2000,5.7
380,CHEMBL4292285,CCOC(=O)Nc1oc2c(I)nccc2c1N(C(=O)OCC)c1ccc(F)c(Cl)c1,1000,6,2000,5.7
381,CHEMBL4292321,Nc1oc2cnccc2c1Nc1cccc(CC2CCC2)c1,1000,6,2000,5.7
